x_value,axis_metric,class1_BER,class1_FER,class2_BER,class2_FER,full_BER,full_FER,uncoded_BER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-118.0,dbm,0.35590906099888137,1.0,0.20386150775372333,1.0,0.31029479502533397,1.0,0.19510429690070408,1.0,-118.0,-118.0,-106.62485094253907,2.1752786921070493e-14,-11.375149057460925,-2.914634197245129,-11.37514905746093,271002.7100271003,154519.0890505396,0.0
-117.0,dbm,0.2953049944067908,1.0,0.17910333179794258,1.0,0.26044449562413635,1.0,0.16708889912482727,1.0,-117.0,-117.0,-106.62485094253907,2.1752786921070493e-14,-10.37514905746091,-1.9146341972451153,-10.37514905746093,271002.7100271003,154519.0890505396,0.0
-116.0,dbm,0.21630913996183457,0.9970059880239521,0.15092891140795334,1.0,0.1966950713956702,1.0,0.1418536553267092,1.0,-116.0,-116.0,-106.62485094253907,2.1752786921070493e-14,-9.375149057460915,-0.9146341972451193,-9.37514905746093,271002.7100271003,154519.0890505396,0.0
-115.0,dbm,0.13008036739380022,0.9880597014925373,0.11898201301186376,1.0,0.1267508610792193,1.0,0.11564703952763654,1.0,-115.0,-115.0,-106.62485094253906,2.1752786921070493e-14,-8.375149057460916,0.0853658027548807,-8.37514905746093,271002.7100271003,154519.08905053957,0.0
-114.0,dbm,0.06260886087975426,0.8847262247838616,0.09007611024902092,1.0,0.07084903569053425,1.0,0.09245653481964722,1.0,-114.0,-114.0,-106.62485094253907,2.1752786921070493e-14,-7.375149057460917,1.0853658027548754,-7.375149057460931,271002.71002710034,154519.0890505396,0.0
-113.0,dbm,0.02069828905271943,0.5417721518987342,0.06819214540733529,0.9924050632911392,0.034946445959104185,0.9974683544303797,0.06778411461955766,1.0,-113.0,-113.0,-106.62485094253907,2.1752786921070493e-14,-6.375149057460919,2.0853658027548727,-6.375149057460931,271002.71002710034,154519.08905053957,0.0
-112.0,dbm,0.004471718757433043,0.20346320346320346,0.047702297702297704,0.9761904761904762,0.01744089244089244,0.9848484848484849,0.048130440987583845,1.0,-112.0,-112.0,-106.62485094253907,2.1752786921070493e-14,-5.375149057460907,3.085365802754886,-5.375149057460931,271002.71002710034,154519.08905053957,0.0
-111.0,dbm,0.0007567903794318888,0.04150943396226415,0.031107885824866958,0.9207547169811321,0.00986211901306241,0.9245283018867925,0.030499688990255028,1.0,-111.0,-111.0,-106.62485094253907,2.1752786921070493e-14,-4.37514905746091,4.085365802754882,-4.375149057460931,271002.71002710034,154519.08905053962,0.0
-110.0,dbm,7.619499144922874e-05,0.004622496147919877,0.018648018648018648,0.7688751926040062,0.005647742088420054,0.7688751926040062,0.018362992939264126,1.0,-110.0,-110.0,-106.62485094253908,2.1752786921070493e-14,-3.375149057460916,5.085365802754879,-3.3751490574609306,271002.7100271003,154519.0890505396,0.0
