x_value,axis_metric,class1_BER,class1_FER,class2_BER,class2_FER,full_BER,full_FER,uncoded_BER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-2.914634197245129,ebn0_db,0.47667302757123114,1.0,0.3580531245201904,1.0,0.4410870566559189,1.0,0.26771731262749227,1.0,-118.0,-118.0,-106.62485094253907,2.1752786921070493e-14,-11.375149057460925,-2.914634197245129,-11.37514905746093,271002.7100271003,154519.0890505396,0.0
-1.9146341972451153,ebn0_db,0.4647298808975456,1.0,0.33751727314601565,1.0,0.4265660985720866,1.0,0.2446700006580246,1.0,-117.0,-117.0,-106.62485094253907,2.1752786921070493e-14,-10.37514905746091,-1.9146341972451153,-10.37514905746093,271002.7100271003,154519.0890505396,0.0
-0.9146341972451193,ebn0_db,0.46073238139106404,1.0,0.3222401351143866,1.0,0.4191847075080608,1.0,0.22872935447785747,1.0,-116.0,-116.0,-106.62485094253907,2.1752786921070493e-14,-9.375149057460915,-0.9146341972451193,-9.37514905746093,271002.7100271003,154519.0890505396,0.0
0.08536580275487907,ebn0_db,0.4507797591629927,1.0,0.301934592353754,1.0,0.40612620912022107,1.0,0.20444824636441403,1.0,-115.0,-115.0,-106.62485094253907,2.1752786921070493e-14,-8.375149057460916,0.08536580275487907,-8.37514905746093,271002.7100271003,154519.0890505396,0.0
1.0853658027548754,ebn0_db,0.4337862736066329,1.0,0.2737985567326885,1.0,0.3857899585444496,1.0,0.1810061196288741,1.0,-114.0,-114.0,-106.62485094253907,2.1752786921070493e-14,-7.375149057460917,1.0853658027548754,-7.375149057460931,271002.7100271003,154519.0890505396,0.0
2.085365802754873,ebn0_db,0.41315720207935774,1.0,0.25134346691232917,1.0,0.3646130815292492,1.0,0.16264723300651443,1.0,-113.0,-113.0,-106.62485094253907,2.1752786921070493e-14,-6.37514905746092,2.085365802754873,-6.375149057460931,271002.7100271003,154519.0890505396,0.0
3.085365802754886,ebn0_db,0.38277291570704747,1.0,0.2245892829725165,1.0,0.3353178258866882,1.0,0.1427748897808778,1.0,-112.0,-112.0,-106.62485094253907,2.1752786921070493e-14,-5.375149057460908,3.085365802754886,-5.375149057460931,271002.7100271003,154519.0890505396,0.0
4.085365802754882,ebn0_db,0.33269724287688357,1.0,0.19472593274988484,1.0,0.291305849838784,1.0,0.11954662104362704,1.0,-111.0,-111.0,-106.62485094253907,2.1752786921070493e-14,-4.37514905746091,4.085365802754882,-4.375149057460931,271002.7100271003,154519.0890505396,0.0
5.085365802754879,ebn0_db,0.26483845495821545,1.0,0.1660908951328113,1.0,0.23521418701059418,1.0,0.10113838257550832,1.0,-110.0,-110.0,-106.62485094253907,2.1752786921070493e-14,-3.3751490574609155,5.085365802754879,-3.3751490574609306,271002.7100271003,154519.0890505396,0.0
6.085365802754873,ebn0_db,0.16764822004342964,1.0,0.13876093965914324,1.0,0.15898203592814372,1.0,0.08027900243469106,1.0,-109.0,-109.0,-106.62485094253907,2.1752786921070493e-14,-2.3751490574609195,6.085365802754873,-2.3751490574609306,271002.7100271003,154519.0890505396,0.0
