x_value,axis_metric,class1_BER,class1_FER,class2_BfER,class2_FER,full_BER,full_FER,uncoded_BER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-2.914634197245129,ebn0_db,0.4748634598934,1.0,0.35912789805005374,1.0,0.44014279134039613,1.0,0.27038231229848,1.0,-118.0,-118.0,-106.62485094253907,2.1752786921070493e-14,-11.375149057460925,-2.914634197245129,-11.37514905746093,271002.7100271003,154519.0890505396,0.0
-1.9146341972451153,ebn0_db,0.4643350661314733,1.0,0.3403577460463688,1.0,0.42714187010594196,1.0,0.245278673422386,1.0,-117.0,-117.0,-106.62485094253907,2.1752786921070493e-14,-10.37514905746091,-1.9146341972451153,-10.37514905746093,271002.7100271003,154519.0890505396,0.0
-0.9146341972451193,ebn0_db,0.45211225899848656,1.0,0.3195915860586519,1.0,0.41235605711653617,1.0,0.22678818187800223,1.0,-116.0,-116.0,-106.62485094253907,2.1752786921070493e-14,-9.375149057460915,-0.9146341972451193,-9.37514905746093,271002.7100271003,154519.0890505396,0.0
0.08536580275487908,ebn0_db,0.44757188918865565,1.0,0.298710271764164,1.0,0.40291340396130815,1.0,0.20642232019477527,1.0,-115.0,-115.0,-106.62485094253907,2.1752786921070493e-14,-8.375149057460916,0.08536580275487908,-8.37514905746093,271002.7100271003,154519.0890505396,0.0
1.0853658027548754,ebn0_db,0.4307264591695729,1.0,0.2754874865653309,1.0,0.38415476738830034,1.0,0.188705007567283,1.0,-114.0,-114.0,-106.62485094253907,2.1752786921070493e-14,-7.375149057460917,1.0853658027548754,-7.375149057460931,271002.7100271003,154519.0890505396,0.0
2.085365802754873,ebn0_db,0.3982693952753833,1.0,0.24850299401197604,1.0,0.35333947489636114,1.0,0.1586661841152859,1.0,-113.0,-113.0,-106.62485094253907,2.1752786921070493e-14,-6.37514905746092,2.085365802754873,-6.375149057460931,271002.7100271003,154519.0890505396,0.0
3.085365802754886,ebn0_db,0.35969270250707375,1.0,0.22685398433901427,1.0,0.3198410870566559,1.0,0.14083371718102258,1.0,-112.0,-112.0,-106.62485094253907,2.1752786921070493e-14,-5.375149057460908,3.085365802754886,-5.375149057460931,271002.7100271003,154519.0890505396,0.0
4.085365802754882,ebn0_db,0.2904685135224057,1.0,0.199677567941041,1.0,0.2632312298479963,1.0,0.12372507731789169,1.0,-111.0,-111.0,-106.62485094253907,2.1752786921070493e-14,-4.37514905746091,4.085365802754882,-4.375149057460931,271002.7100271003,154519.0890505396,0.0
5.085365802754879,ebn0_db,0.20449759821017305,1.0,0.16539996929218487,1.0,0.1927683095347766,1.0,0.10270119102454432,1.0,-110.0,-110.0,-106.62485094253907,2.1752786921070493e-14,-3.3751490574609155,5.085365802754879,-3.3751490574609306,271002.7100271003,154519.0890505396,0.0
6.085365802754873,ebn0_db,0.11326248601697704,0.9730538922155688,0.13611239060340857,1.0,0.1201174573929065,1.0,0.08100282950582352,1.0,-109.0,-109.0,-106.62485094253907,2.1752786921070493e-14,-2.3751490574609195,6.085365802754873,-2.3751490574609306,271002.7100271003,154519.0890505396,0.0
7.085365802754871,ebn0_db,0.03879055076659867,0.7874251497005988,0.10371564563181329,1.0,0.05826807922616306,1.0,0.0638283871816806,1.0,-108.0,-108.0,-106.62485094253907,2.1752786921070493e-14,-1.3751490574609215,7.085365802754871,-1.3751490574609306,271002.7100271003,154519.0890505396,0.0
8.085365802754888,ebn0_db,0.0081759557807462,0.32934131736526945,0.07715338553661907,0.9970059880239521,0.02886918470750806,0.9970059880239521,0.04673619793380272,1.0,-107.0,-107.0,-106.62485094253907,2.1752786921070493e-14,-0.37514905746090665,8.085365802754888,-0.37514905746093063,271002.7100271003,154519.0890505396,0.0
9.085365802754879,ebn0_db,0.0009870369151806278,0.0658682634730539,0.05588822355289421,0.9790419161676647,0.017457392906494704,0.9790419161676647,0.03214450220438245,1.0,-106.0,-106.0,-106.62485094253907,2.1752786921070493e-14,0.6248509425390876,9.085365802754879,0.6248509425390694,271002.7100271003,154519.0890505396,0.0
10.085365802754877,ebn0_db,0.000213857998289136,0.014970059880239521,0.03473821587594043,0.9251497005988024,0.010571165361584523,0.9251497005988024,0.02094163321708232,1.0,-105.0,-105.0,-106.62485094253907,2.1752786921070493e-14,1.624850942539086,10.085365802754877,1.6248509425390694,271002.7100271003,154519.0890505396,0.0
11.085365802754877,ebn0_db,1.645061525301046e-05,0.0029940119760479044,0.0202287732227852,0.7964071856287425,0.006080147397512667,0.7994011976047904,0.01240376390076989,1.0,-104.0,-104.0,-106.62485094253907,2.1752786921070493e-14,2.624850942539082,11.085365802754877,2.6248509425390694,271002.7100271003,154519.0890505396,0.0
12.08536580275487,ebn0_db,,,0.00863915958255581,0.46900269541778977,0.0025917478747667427,0.46900269541778977,0.005435265543082254,1.0,-103.0,-103.0,-106.62485094253906,2.1752786921070493e-14,3.624850942539077,12.08536580275487,3.6248509425390694,271002.71002710034,154519.0890505396,0.0
13.08536580275489,ebn0_db,,,0.004420866489832007,0.2979310344827586,0.001326259946949602,0.2979310344827586,0.0029101932550208414,1.0,-102.0,-102.0,-106.62485094253906,2.1752786921070493e-14,4.624850942539092,13.08536580275489,4.624850942539069,271002.71002710034,154519.0890505396,0.0
14.085365802754882,ebn0_db,,,0.0015132805501077455,0.11378659112370161,0.0004539841650323237,0.11378659112370161,0.0009831999916985752,1.0,-101.0,-101.0,-106.62485094253906,2.1752786921070493e-14,5.624850942539089,14.085365802754882,5.624850942539069,271002.71002710034,154519.08905053962,0.0
15.085365802754882,ebn0_db,,,0.00038043064749296204,0.02919881305637982,0.00011412919424788861,0.02919881305637982,0.0002915185704503212,1.0,-100.0,-100.0,-106.62485094253908,2.1752786921070493e-14,6.6248509425390845,15.085365802754882,6.624850942539069,271002.71002710034,154519.08905053962,0.0
16.085365802754875,ebn0_db,,,7.89268667734901e-05,0.006129759851399761,2.367806003204703e-05,0.006129759851399761,7.115082078595413e-05,1.0,-99.0,-99.0,-106.62485094253907,2.1752786921070496e-14,7.62485094253908,16.085365802754875,7.624850942539068,271002.7100271002,154519.0890505396,0.0
