x_value,axis_metric,full_BER,full_FER,uncoded_BfsER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-1.413078947632313,ebn0_db,0.50125,1.0,0.49777195945945946,1.0,-118.0,-118.0,-106.62485094253908,2.175278692107049e-14,-11.375149057460927,-1.413078947632313,-11.37514905746093,271002.71002710046,109351.97071268962,0.0
-0.4130789476322984,ebn0_db,0.49955978260869566,1.0,0.4972314189189189,1.0,-117.0,-117.0,-106.62485094253908,2.175278692107049e-14,-10.375149057460906,-0.4130789476322984,-10.37514905746093,271002.71002710046,109351.97071268962,0.0
0.586921052367698,ebn0_db,0.4992663043478261,1.0,0.49579560810810813,1.0,-116.0,-116.0,-106.62485094253908,2.175278692107049e-14,-9.375149057460913,0.586921052367698,-9.37514905746093,271002.71002710046,109351.97071268962,0.0
1.5869210523676953,ebn0_db,0.49866304347826085,1.0,0.4953733108108108,1.0,-115.0,-115.0,-106.62485094253908,2.175278692107049e-14,-8.375149057460916,1.5869210523676953,-8.37514905746093,271002.71002710046,109351.97071268962,0.0
2.5869210523676927,ebn0_db,0.49899456521739133,1.0,0.494527027027027,1.0,-114.0,-114.0,-106.62485094253908,2.175278692107049e-14,-7.375149057460918,2.5869210523676927,-7.375149057460931,271002.71002710046,109351.97071268962,0.0
3.5869210523676927,ebn0_db,0.5015760869565218,1.0,0.4938243243243243,1.0,-113.0,-113.0,-106.62485094253908,2.175278692107049e-14,-6.375149057460918,3.5869210523676927,-6.375149057460931,271002.71002710046,109351.97071268962,0.0
4.5869210523677015,ebn0_db,0.500625,1.0,0.4932871621621622,1.0,-112.0,-112.0,-106.62485094253908,2.175278692107049e-14,-5.375149057460907,4.5869210523677015,-5.375149057460931,271002.71002710046,109351.97071268962,0.0
5.586921052367699,ebn0_db,0.49920108695652177,1.0,0.4931114864864865,1.0,-111.0,-111.0,-106.62485094253908,2.175278692107049e-14,-4.37514905746091,5.586921052367699,-4.375149057460931,271002.71002710046,109351.97071268962,0.0
6.586921052367697,ebn0_db,0.4985326086956522,1.0,0.4926891891891892,1.0,-110.0,-110.0,-106.62485094253908,2.175278692107049e-14,-3.375149057460916,6.586921052367697,-3.3751490574609306,271002.71002710046,109351.97071268962,0.0
7.586921052367688,ebn0_db,0.5001576086956522,1.0,0.48924493243243244,1.0,-109.0,-109.0,-106.62485094253908,2.175278692107049e-14,-2.3751490574609186,7.586921052367688,-2.3751490574609306,271002.71002710046,109351.97071268962,0.0
8.586921052367687,ebn0_db,0.4998315217391304,1.0,0.48621452702702705,1.0,-108.0,-108.0,-106.62485094253908,2.175278692107049e-14,-1.375149057460921,8.586921052367687,-1.3751490574609306,271002.71002710046,109351.97071268962,0.0
9.586921052367703,ebn0_db,0.5002282608695652,1.0,0.48814527027027027,1.0,-107.0,-107.0,-106.62485094253908,2.175278692107049e-14,-0.37514905746090654,9.586921052367703,-0.37514905746093063,271002.71002710046,109351.97071268962,0.0
10.586921052367698,ebn0_db,0.4986413043478261,1.0,0.48493243243243245,1.0,-106.0,-106.0,-106.62485094253908,2.175278692107049e-14,0.6248509425390874,10.586921052367698,0.6248509425390694,271002.71002710046,109351.97071268962,0.0
11.586921052367698,ebn0_db,0.5030760869565217,1.0,0.47886655405405404,1.0,-105.0,-105.0,-106.62485094253908,2.175278692107049e-14,1.6248509425390862,11.586921052367698,1.6248509425390694,271002.71002710046,109351.97071268962,0.0
