x_value,axis_metric,full_BER,full_FER,uncoded_BEfR,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-1.413078947632313,ebn0_db,0.3958913043478261,1.0,0.2247516891891892,1.0,-118.0,-118.0,-106.62485094253908,2.175278692107049e-14,-11.375149057460927,-1.413078947632313,-11.37514905746093,271002.71002710046,109351.97071268962,0.0
-0.4130789476322984,ebn0_db,0.35671195652173915,1.0,0.1983581081081081,1.0,-117.0,-117.0,-106.62485094253908,2.175278692107049e-14,-10.375149057460906,-0.4130789476322984,-10.37514905746093,271002.71002710046,109351.97071268962,0.0
0.586921052367698,ebn0_db,0.2989836956521739,1.0,0.1713260135135135,1.0,-116.0,-116.0,-106.62485094253908,2.175278692107049e-14,-9.375149057460913,0.586921052367698,-9.37514905746093,271002.71002710046,109351.97071268962,0.0
1.5869210523676953,ebn0_db,0.22515760869565218,1.0,0.1439814189189189,1.0,-115.0,-115.0,-106.62485094253908,2.175278692107049e-14,-8.375149057460916,1.5869210523676953,-8.37514905746093,271002.71002710046,109351.97071268962,0.0
2.5869210523676927,ebn0_db,0.1350176846100759,0.9920634920634921,0.11730983215358215,1.0,-114.0,-114.0,-106.62485094253908,2.175278692107049e-14,-7.375149057460918,2.5869210523676927,-7.375149057460931,271002.7100271004,109351.97071268962,0.0
3.5869210523676918,ebn0_db,0.06658937198067633,0.8888888888888888,0.09255855855855856,1.0,-113.0,-113.0,-106.62485094253908,2.1752786921070496e-14,-6.37514905746092,3.5869210523676918,-6.375149057460931,271002.7100271003,109351.97071268958,0.0
4.5869210523677015,ebn0_db,0.022208803005904457,0.5611672278338945,0.06838656838656838,1.0,-112.0,-112.0,-106.62485094253907,2.175278692107049e-14,-5.3751490574609075,4.5869210523677015,-5.37514905746093,271002.7100271004,109351.97071268961,0.0
5.586921052367699,ebn0_db,0.005407608695652174,0.2095,0.04776351351351352,1.0,-111.0,-111.0,-106.62485094253908,2.175278692107049e-14,-4.37514905746091,5.586921052367699,-4.375149057460931,271002.71002710046,109351.97071268962,0.0
6.586921052367697,ebn0_db,0.0009728260869565217,0.046,0.03092989864864865,1.0,-110.0,-110.0,-106.62485094253908,2.175278692107049e-14,-3.375149057460916,6.586921052367697,-3.3751490574609306,271002.71002710046,109351.97071268962,0.0
7.586921052367688,ebn0_db,0.00011684782608695652,0.007,0.018341216216216216,1.0,-109.0,-109.0,-106.62485094253908,2.175278692107049e-14,-2.3751490574609186,7.586921052367688,-2.3751490574609306,271002.71002710046,109351.97071268962,0.0
8.586921052367687,ebn0_db,1.3586956521739131e-05,0.001,0.009820101351351352,1.0,-108.0,-108.0,-106.62485094253908,2.175278692107049e-14,-1.375149057460921,8.586921052367687,-1.3751490574609306,271002.71002710046,109351.97071268962,0.0
