x_value,axis_metric,full_BER,full_FER,uncoded_BER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-118.0,dbm,0.4586304347826087,1.0,0.3513006756756757,1.0,-118.0,-118.0,-106.62485094253908,2.175278692107049e-14,-11.375149057460927,-1.413078947632313,-11.37514905746093,271002.71002710046,109351.97071268962,0.0
-116.0,dbm,0.4286086956521739,1.0,0.3172195945945946,1.0,-116.0,-116.0,-106.62485094253908,2.175278692107049e-14,-9.375149057460913,0.586921052367698,-9.37514905746093,271002.71002710046,109351.97071268962,0.0
-114.0,dbm,0.3650217391304348,1.0,0.27640202702702704,1.0,-114.0,-114.0,-106.62485094253908,2.175278692107049e-14,-7.375149057460918,2.5869210523676927,-7.375149057460931,271002.71002710046,109351.97071268962,0.0
-112.0,dbm,0.2131509794553273,0.999000999000999,0.22886572886572887,1.0,-112.0,-112.0,-106.62485094253906,2.175278692107049e-14,-5.3751490574609075,4.586921052367702,-5.3751490574609315,271002.7100271004,109351.97071268961,0.0
-110.0,dbm,0.043949771689497714,0.76103500761035,0.17710390184705252,1.0,-110.0,-110.0,-106.62485094253907,2.1752786921070493e-14,-3.3751490574609155,6.586921052367697,-3.3751490574609306,271002.71002710034,109351.9707126896,0.0
-108.0,dbm,0.001486413043478261,0.0715,0.1233133445945946,1.0,-108.0,-108.0,-106.62485094253908,2.175278692107049e-14,-1.375149057460921,8.586921052367687,-1.3751490574609306,271002.71002710046,109351.97071268962,0.0
-107.0,dbm,0.00010597826086956521,0.0085,0.09732516891891892,1.0,-107.0,-107.0,-106.62485094253908,2.175278692107049e-14,-0.37514905746090654,9.586921052367703,-0.37514905746093063,271002.71002710046,109351.97071268962,0.0
