x_value,axis_metric,header_BER,header_FER,data_BER,data_FER,full_BER,full_FER,uncoded_BER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
0.03363642135252043,ebn0_db,0.4239907282209774,0.9850299401197605,0.48331427033573304,1.0,0.47451508466320946,1.0,0.11850492563260576,1.0,-116.0,-116.0,-106.62485094253907,2.1752786921070493e-14,-9.375149057460915,0.03363642135252043,-9.37514905746093,271002.7100271003,124209.57542908758,0.0
1.0336364213525187,ebn0_db,0.39491983774386713,0.9820359281437125,0.4782009015676512,1.0,0.46584820789043924,1.0,0.09725709870581417,1.0,-115.0,-115.0,-106.62485094253907,2.1752786921070493e-14,-8.375149057460916,1.0336364213525187,-8.37514905746093,271002.7100271003,124209.57542908758,0.0
2.033636421352515,ebn0_db,0.37222329534479426,0.937125748502994,0.484626253111754,1.0,0.4679540440649801,1.0,0.0754297855901101,1.0,-114.0,-114.0,-106.62485094253907,2.1752786921070493e-14,-7.375149057460917,2.033636421352515,-7.375149057460931,271002.7100271003,124209.57542908758,0.0
3.0336364213525133,ebn0_db,0.3093490438477883,0.8353293413173652,0.4626421314674023,1.0,0.4399048792367418,1.0,0.05514776897817269,1.0,-113.0,-113.0,-106.62485094253907,2.1752786921070493e-14,-6.37514905746092,3.0336364213525133,-6.375149057460931,271002.7100271003,124209.57542908758,0.0
4.033636421352525,ebn0_db,0.24782692679157814,0.6826347305389222,0.45376101729126017,1.0,0.4232157694181016,1.0,0.042592234885068574,1.0,-112.0,-112.0,-106.62485094253907,2.1752786921070493e-14,-5.375149057460908,4.033636421352525,-5.375149057460931,271002.7100271003,124209.57542908758,0.0
5.033636421352523,ebn0_db,0.19992273517481166,0.5508982035928144,0.4583697772993339,1.0,0.42003552703206026,1.0,0.02916747150859571,1.0,-111.0,-111.0,-106.62485094253907,2.1752786921070493e-14,-4.37514905746091,5.033636421352523,-4.375149057460931,271002.7100271003,124209.57542908758,0.0
6.033636421352519,ebn0_db,0.1460305196059494,0.36826347305389223,0.44047298661104756,1.0,0.396799702031344,1.0,0.019605949391539503,1.0,-110.0,-110.0,-106.62485094253907,2.1752786921070493e-14,-3.3751490574609155,6.033636421352519,-3.3751490574609306,271002.7100271003,124209.57542908758,0.0
7.033636421352514,ebn0_db,0.10237589337454124,0.23952095808383234,0.42409002220278547,0.9820359281437125,0.37637165859668226,0.9850299401197605,0.010817075526366621,1.0,-109.0,-109.0,-106.62485094253907,2.1752786921070493e-14,-2.3751490574609195,7.033636421352514,-2.3751490574609306,271002.7100271003,124209.57542908758,0.0
8.033636421352512,ebn0_db,0.08605369905350589,0.19461077844311378,0.4002388481464038,0.9431137724550899,0.35363722316133284,0.9520958083832335,0.005891442920610392,1.0,-108.0,-108.0,-106.62485094253907,2.1752786921070493e-14,-1.3751490574609215,8.033636421352512,-1.3751490574609306,271002.7100271003,124209.57542908758,0.0
9.033636421352526,ebn0_db,0.07456055630674135,0.1347305389221557,0.37430195788198883,0.9101796407185628,0.32984270693063633,0.9221556886227545,0.003283755070504153,1.0,-107.0,-107.0,-106.62485094253907,2.1752786921070493e-14,-0.3751490574609066,9.033636421352526,-0.37514905746093063,271002.7100271003,124209.57542908758,0.0
10.033636421352522,ebn0_db,0.04577940892408731,0.08982035928143713,0.3609802866177757,0.9161676646706587,0.31422800332349654,0.9221556886227545,0.0017384585667374927,1.0,-106.0,-106.0,-106.62485094253907,2.1752786921070493e-14,0.6248509425390876,10.033636421352522,0.6248509425390694,271002.7100271003,124209.57542908758,0.0
11.03363642135252,ebn0_db,0.057272551670851844,0.08682634730538923,0.37812016416604993,0.874251497005988,0.3305303269059966,0.8922155688622755,0.0006760672203979138,1.0,-105.0,-105.0,-106.62485094253907,2.1752786921070493e-14,1.624850942539086,11.03363642135252,1.6248509425390694,271002.7100271003,124209.57542908758,0.0
12.033636421352512,ebn0_db,0.061425536024724746,0.09281437125748503,0.3999192625983987,0.8682634730538922,0.3497120591353179,0.8712574850299402,9.658103148541626e-05,1.0,-104.0,-104.0,-106.62485094253907,2.1752786921070493e-14,2.624850942539082,12.033636421352512,2.6248509425390694,271002.7100271003,124209.57542908758,0.0
