x_value,axis_metric,full_BER,full_FER,uncoded_BER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-1.413078947632313,ebn0_db,0.46383152173913045,1.0,0.31525675675675674,1.0,-118.0,-118.0,-106.62485094253908,2.175278692107049e-14,-11.375149057460927,-1.413078947632313,-11.37514905746093,271002.71002710046,109351.97071268962,0.0
-0.4130789476322984,ebn0_db,0.45071739130434785,1.0,0.2939527027027027,1.0,-117.0,-117.0,-106.62485094253908,2.175278692107049e-14,-10.375149057460906,-0.4130789476322984,-10.37514905746093,271002.71002710046,109351.97071268962,0.0
0.586921052367698,ebn0_db,0.4389021739130435,1.0,0.2714070945945946,1.0,-116.0,-116.0,-106.62485094253908,2.175278692107049e-14,-9.375149057460913,0.586921052367698,-9.37514905746093,271002.71002710046,109351.97071268962,0.0
1.5869210523676953,ebn0_db,0.4167336956521739,1.0,0.24865878378378378,1.0,-115.0,-115.0,-106.62485094253908,2.175278692107049e-14,-8.375149057460916,1.5869210523676953,-8.37514905746093,271002.71002710046,109351.97071268962,0.0
2.5869210523676927,ebn0_db,0.386,1.0,0.22178716216216215,1.0,-114.0,-114.0,-106.62485094253908,2.175278692107049e-14,-7.375149057460918,2.5869210523676927,-7.375149057460931,271002.71002710046,109351.97071268962,0.0
3.5869210523676927,ebn0_db,0.3415380434782609,1.0,0.19506925675675676,1.0,-113.0,-113.0,-106.62485094253908,2.175278692107049e-14,-6.375149057460918,3.5869210523676927,-6.375149057460931,271002.71002710046,109351.97071268962,0.0
4.5869210523677015,ebn0_db,0.2792173913043478,1.0,0.16683783783783784,1.0,-112.0,-112.0,-106.62485094253908,2.175278692107049e-14,-5.375149057460907,4.5869210523677015,-5.375149057460931,271002.71002710046,109351.97071268962,0.0
5.5869210523677,ebn0_db,0.20238327692441205,0.998003992015968,0.13961435237632844,1.0,-111.0,-111.0,-106.62485094253907,2.1752786921070493e-14,-4.375149057460911,5.5869210523677,-4.375149057460931,271002.7100271004,109351.97071268961,0.0
6.586921052367698,ebn0_db,0.11579533404029692,0.975609756097561,0.11132992748846407,1.0,-110.0,-110.0,-106.62485094253907,2.1752786921070493e-14,-3.375149057460916,6.586921052367698,-3.3751490574609306,271002.7100271004,109351.97071268962,0.0
7.586921052367692,ebn0_db,0.048367310120873176,0.8298755186721992,0.08551362565885387,1.0,-109.0,-109.0,-106.62485094253907,2.1752786921070496e-14,-2.3751490574609195,7.586921052367692,-2.3751490574609306,271002.71002710034,109351.9707126896,0.0
8.586921052367687,ebn0_db,0.015641304347826086,0.4485,0.06244003378378379,1.0,-108.0,-108.0,-106.62485094253908,2.175278692107049e-14,-1.375149057460921,8.586921052367687,-1.3751490574609306,271002.71002710046,109351.97071268962,0.0
9.586921052367703,ebn0_db,0.0034456521739130437,0.145,0.042642736486486484,1.0,-107.0,-107.0,-106.62485094253908,2.175278692107049e-14,-0.37514905746090654,9.586921052367703,-0.37514905746093063,271002.71002710046,109351.97071268962,0.0
10.586921052367698,ebn0_db,0.0005054347826086956,0.0275,0.026820945945945945,1.0,-106.0,-106.0,-106.62485094253908,2.175278692107049e-14,0.6248509425390874,10.586921052367698,0.6248509425390694,271002.71002710046,109351.97071268962,0.0
11.586921052367698,ebn0_db,3.5326086956521736e-05,0.0025,0.015471283783783783,1.0,-105.0,-105.0,-106.62485094253908,2.175278692107049e-14,1.6248509425390862,11.586921052367698,1.6248509425390694,271002.71002710046,109351.97071268962,0.0
