x_value,axis_metric,class1_BER,class1_FER,class2_BEfR,class2_FER,full_BER,full_FER,uncoded_BER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-2.914634197245129,ebn0_db,0.5016615121405541,1.0,0.5047597113465377,1.0,0.5025909719023491,1.0,0.49835493847469897,1.0,-118.0,-118.0,-106.62485094253907,2.1752786921070493e-14,-11.375149057460925,-2.914634197245129,-11.37514905746093,271002.7100271003,154519.0890505396,0.0
-1.9146341972451153,ebn0_db,0.4989800618543134,1.0,0.49815753109166283,1.0,0.4987333026255182,1.0,0.4983055866289399,1.0,-117.0,-117.0,-106.62485094253907,2.1752786921070493e-14,-10.37514905746091,-1.9146341972451153,-10.37514905746093,271002.7100271003,154519.0890505396,0.0
-0.9146341972451193,ebn0_db,0.5007731789168914,1.0,0.4982343006295102,1.0,0.5000115154306771,1.0,0.49220240837007306,1.0,-116.0,-116.0,-106.62485094253907,2.1752786921070493e-14,-9.375149057460915,-0.9146341972451193,-9.37514905746093,271002.7100271003,154519.0890505396,0.0
0.08536580275487908,ebn0_db,0.49804237678489177,1.0,0.4970443727928758,1.0,0.497742975587287,1.0,0.4925314206751332,1.0,-115.0,-115.0,-106.62485094253907,2.1752786921070493e-14,-8.375149057460916,0.08536580275487908,-8.37514905746093,271002.7100271003,154519.0890505396,0.0
1.0853658027548754,ebn0_db,0.49746660525103636,1.0,0.504222324581606,1.0,0.4994933210502073,1.0,0.4927452786734224,1.0,-114.0,-114.0,-106.62485094253907,2.1752786921070493e-14,-7.375149057460917,1.0853658027548754,-7.375149057460931,271002.7100271003,154519.0890505396,0.0
2.085365802754873,ebn0_db,0.5041949068895176,1.0,0.5010747735298634,1.0,0.5032588668816214,1.0,0.49218595775482005,1.0,-113.0,-113.0,-106.62485094253907,2.1752786921070493e-14,-6.37514905746092,2.085365802754873,-6.375149057460931,271002.7100271003,154519.0890505396,0.0
3.085365802754886,ebn0_db,0.4976311114035665,1.0,0.4921311223706433,1.0,0.49598111469368955,1.0,0.4892577482397842,1.0,-112.0,-112.0,-106.62485094253907,2.1752786921070493e-14,-5.375149057460908,3.085365802754886,-5.375149057460931,271002.7100271003,154519.0890505396,0.0
4.085365802754882,ebn0_db,0.4998683950779759,1.0,0.4968524489482573,1.0,0.49896361123906036,1.0,0.4935184575903139,1.0,-111.0,-111.0,-106.62485094253907,2.1752786921070493e-14,-4.37514905746091,4.085365802754882,-4.375149057460931,271002.7100271003,154519.0890505396,0.0
5.085365802754879,ebn0_db,0.49756530894255446,1.0,0.5051051742668509,1.0,0.4998272685398434,1.0,0.4867572547213266,1.0,-110.0,-110.0,-106.62485094253907,2.1752786921070493e-14,-3.3751490574609155,5.085365802754879,-3.3751490574609306,271002.7100271003,154519.0890505396,0.0
6.085365802754873,ebn0_db,0.49715404356122916,1.0,0.5002686933824658,1.0,0.4980884385076002,1.0,0.4838290452062907,1.0,-109.0,-109.0,-106.62485094253907,2.1752786921070493e-14,-2.3751490574609195,6.085365802754873,-2.3751490574609306,271002.7100271003,154519.0890505396,0.0
7.085365802754871,ebn0_db,0.4981081792459038,1.0,0.4971211423307232,1.0,0.4978120681713496,1.0,0.48720142133315786,1.0,-108.0,-108.0,-106.62485094253907,2.1752786921070493e-14,-1.3751490574609215,7.085365802754871,-1.3751490574609306,271002.7100271003,154519.0890505396,0.0
8.085365802754888,ebn0_db,0.49847009278147003,1.0,0.4947412866574543,1.0,0.4973514509442653,1.0,0.47762716325590576,1.0,-107.0,-107.0,-106.62485094253907,2.1752786921070493e-14,-0.3751490574609066,8.085365802754888,-0.37514905746093063,271002.7100271003,154519.0890505396,0.0
9.085365802754879,ebn0_db,0.4957557412647233,1.0,0.49120988791647474,1.0,0.49439198526024875,1.0,0.47614660788313484,1.0,-106.0,-106.0,-106.62485094253907,2.1752786921070493e-14,0.6248509425390876,9.085365802754879,0.6248509425390694,271002.7100271003,154519.0890505396,0.0
10.085365802754877,ebn0_db,0.496874383101928,1.0,0.4810763089206203,1.0,0.4921349608475357,1.0,0.46782259656511155,1.0,-105.0,-105.0,-106.62485094253907,2.1752786921070493e-14,1.624850942539086,10.085365802754877,1.6248509425390694,271002.7100271003,154519.0890505396,0.0
11.085365802754877,ebn0_db,0.49975324077120487,1.0,0.4823813910640258,1.0,0.4945416858590511,1.0,0.4600579061656906,1.0,-104.0,-104.0,-106.62485094253907,2.1752786921070493e-14,2.624850942539082,11.085365802754877,2.6248509425390694,271002.7100271003,154519.0890505396,0.0
12.085365802754872,ebn0_db,0.49567348818845824,1.0,0.45712421311223705,1.0,0.4841087056655919,1.0,0.4389682174113312,1.0,-103.0,-103.0,-106.62485094253907,2.1752786921070493e-14,3.6248509425390774,12.085365802754872,3.6248509425390694,271002.7100271003,154519.0890505396,0.0
13.085365802754893,ebn0_db,0.4915279331446996,1.0,0.43213572854291415,1.0,0.47371027176416397,1.0,0.3985819569651905,1.0,-102.0,-102.0,-106.62485094253907,2.1752786921070493e-14,4.624850942539092,13.085365802754893,4.624850942539069,271002.7100271003,154519.0890505396,0.0
